Date,AWS,wind_speed,wind_direction,R1,R2,R3,R4,R5,R6,R7,R8,R9
2017-07-10 01:30,0,0.57,342.3,0.6,0.6,0.2,1,0.6,0.4,1.5,1,0.6
2017-07-10 01:40,0,0.29,273.7,0.2,0.2,0.2,0.4,0.4,0.2,0.6,0.6,0.4
2017-07-10 01:50,0,0.36,211.8,0,0,0,0,0,0,0,0,0
2017-07-10 02:00,0,0.01,234.5,0,0,0,0,0,0,0,0,0
2017-07-10 02:10,0,0.59,123,0,0,0,0,0,0,0,0,0
2017-07-10 02:20,0,0.44,124.3,0,0,0,0,0,0,0,0,0
2017-07-10 02:30,0,0.42,138,0,0,0.1,0,0,0,0,0,0
2017-07-10 02:40,0,0.38,174.8,0.2,0.4,0.4,0.2,0.4,0.2,0.2,0.2,0.1
2017-07-10 02:50,0,0.58,175.8,0.2,0.1,0.1,0.1,0,0,0.1,0,0
2017-07-10 03:00,0,0.43,190.3,6,6,5,4,5,3,1,1,1.5
2017-07-10 03:10,0,0.21,162,3,2,0.6,2,1.5,0.6,2,1,0.8
2017-07-10 03:20,0,0,267.9,0.2,0.1,0,0.2,0.1,0,0.4,0.2,0.1
2017-07-10 03:30,0.05,0,267.9,0.4,0.4,0.2,0.2,0.2,0.2,0,0,0.1
2017-07-10 03:40,0.05,0.4,267.9,1.5,1,1,1.5,1.5,1.5,0.4,1,1.5
2017-07-10 03:50,0.1,0.97,323.3,6,12,9,3,7,3,2,2,1
2017-07-10 04:00,0,0.95,347.3,10,5,0.6,8,2,0.8,10,1,0.4
2017-07-10 04:10,0,0.55,328.9,1,0.8,0.2,0.4,0.2,0,0.8,0.1,0
2017-07-10 04:20,0,0.88,305.2,0,0,0,0,0,0,0,0,0
2017-07-10 04:30,0.05,1.04,317.6,0,0,0,0,0,0,0,0,0
2017-07-10 04:40,0,1.09,355.2,0,0,0,0,0,0,0,0,0
2017-07-10 04:50,0,1.01,356.5,0,0,0,0.4,0,0,0.4,0,0
2017-07-10 05:00,0,0.91,300.7,0,0,0,0,0,0,0,0,0
2017-07-10 05:10,0,0.94,322.8,0,0,0,0,0,0,0,0,0
2017-07-10 05:20,0,0.97,310.5,0,0,0,0,0,0,0,0,0
2017-07-10 05:30,0,0.76,343.2,0,0,0,0,0,0,0,0,0
2017-07-10 05:40,0,0.62,332,0,0,0,0,0,0,0,0,0
2017-07-10 05:50,0,0.14,1.1,0,0,0,0,0,0,0,0,0
2017-07-10 06:00,0,0.06,351.7,0,0,0,0,0,0,0,0,0
2017-07-10 06:10,0,0.77,355.9,0,0,0,0,0,0,0,0,0
2017-07-10 06:20,0,0.89,317.9,0,0,0,0,0,0,0,0,0
2017-07-10 06:30,0,0.61,294.4,0,0,0,0,0,0,0,0,0
2017-07-10 06:40,0.05,0.49,346.9,0.1,0.2,1,0,0,0.1,0,0,0
2017-07-10 06:50,0,0.5,314.6,0.8,0.6,0,0.2,0.4,0,0.2,0.2,0.1
2017-07-10 07:00,0,0.53,315.8,0,0,0,0,0,0,0,0,0
2017-07-10 07:10,0,0.91,322,0,0,0,0,0,0,0,0,0
2017-07-10 07:20,0,1.18,332.4,0,0,0,0,0,0,0,0,0
