Date,AWS,wind_speed,wind_direction,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49
2017-07-02 01:30,0.05,2.4,229.5,0,0,0,0.6,1.5,3,4,0,0,0.1,1,2,3,5,0,0,0.1,1,2,3,4,0,0,0,0.2,1,3,5,0,0,0,0.2,2,4,6,0,0,0,0.2,2,4,4,0,0,0,0.4,1,1.5,3
2017-07-02 01:40,0.05,1.97,253.8,0,0,0,0.1,0.2,0.6,2,0,0,0,0,0.4,1.5,5,0,0,0,0.1,0.2,2,6,0,0,0.1,0.2,0.6,2,6,0,0,0.4,0.8,1.5,2,2,0,0,0.6,1,2,2,2,0,0,0.2,1.5,2,3,3
2017-07-02 01:50,0.05,1.68,215.4,0,0.4,0.6,0.4,0.6,1.5,3,0,0.2,0.6,0.8,0.8,0.8,2,0,0.1,0.4,0.8,1,1.5,1,0,0.1,0.1,0.2,0.6,1.5,2,0,0,0.1,0.2,0.6,1.5,3,0,0,0.1,0.2,1,1.5,2,0,0,0,0.6,1,1.5,2
2017-07-02 02:00,0.05,1.58,212.9,0.1,0.1,0.4,1,2,2,1.5,0,0.1,0.2,0.8,1.5,2,2,0.1,0.1,0.1,0.6,2,6,7,0.2,0.4,0.2,2,4,5,3,0.4,0.6,0.6,0.4,2,2,2,0.2,0.4,0.4,0.4,1.5,4,3,0.1,0.2,0.4,0.4,0.6,1.5,3
2017-07-02 02:10,0.15,2.38,212,0.1,0.4,0.8,2,3,3,4,0.1,0.2,0.4,1,1.5,2,4,0.1,0.2,0.4,0.8,1,3,3,0.2,0.4,0.6,0.8,1.5,4,4,0.2,0.4,0.6,1,1.5,3,3,0.1,0.2,0.6,1,2,1.5,2,0.1,0.2,0.6,1.5,2,3,4
2017-07-02 02:20,0.15,2.6,211.8,4,5,6,4,3,5,6,1.5,3,5,5,5,5,5,1.5,4,4,5,6,6,7,0.6,1,2,5,5,5,6,0.4,0.6,2,3,3,3,3,0.6,0.6,1.5,2,2,3,2,0.4,0.6,1,1,2,3,2
2017-07-02 02:30,0.15,2.26,228.7,10,9,7,10,8,6,4,6,8,7,6,4,5,5,8,8,6,8,8,6,4,6,4,6,7,6,3,3,4,5,6,7,6,4,4,2,5,6,6,8,3,2,2,2,4,5,6,4,3
2017-07-02 02:40,0.4,2.22,191,5,6,7,7,7,4,5,4,6,6,6,7,5,8,8,6,7,7,5,7,12,8,10,12,10,5,9,12,8,9,10,8,8,10,9,8,8,8,9,4,7,6,4,5,6,6,3,2,4
2017-07-02 02:50,0.1,2.53,198.1,9,6,6,7,4,4,2,8,9,4,2,2,3,7,10,7,4,3,2,2,3,8,7,7,4,2,2,2,6,6,7,6,5,2,2,3,5,7,5,3,2,2,4,6,7,6,3,3,3
2017-07-02 03:00,0.15,1.7,235.1,5,5,3,3,3,4,7,4,3,3,4,5,4,3,3,2,3,3,4,6,6,3,4,4,4,6,7,4,4,4,4,6,5,4,3,4,6,7,4,7,3,3,4,4,6,6,6,5,3
2017-07-02 03:10,0.6,1.43,231.8,2,3,4,6,10,10,10,3,2,2,5,16,10,7,6,3,4,14,16,5,4,7,4,5,8,9,7,4,6,5,6,6,6,6,7,6,7,7,4,2,2,3,5,4,4,4,3,3,2
2017-07-02 03:20,0.35,1.89,236.8,5,4,7,10,9,8,8,5,6,6,8,9,10,9,3,3,2,3,5,10,12,3,2,2,4,6,10,10,2,2,2,6,7,8,9,3,3,4,5,7,6,6,4,3,4,6,6,5,4
2017-07-02 03:30,0.25,1.29,233.8,4,10,10,5,2,1.5,2,6,9,8,5,3,1.5,0.4,7,8,6,6,3,2,0.6,8,4,4,5,4,2,1.5,6,4,3,3,4,4,2,4,3,3,3,3,4,3,7,3,3,3,4,3,4
2017-07-02 03:40,0.4,1.32,225.7,6,7,6,5,6,4,3,10,7,5,2,3,3,3,16,10,8,4,6,3,5,6,7,6,1.5,2,2,6,5,7,4,1,2,2,5,8,7,4,1,2,1.5,1.5,6,7,4,1.5,0.6,0.4,0.8
2017-07-02 03:50,0.3,0.89,306.7,4,9,12,12,9,4,2,3,5,4,4,6,6,1.5,2,2,2,4,5,7,0.4,2,1.5,3,3,5,8,0.4,2,1.5,4,4,6,6,0.6,2,2,3,4,4,6,1,3,2,3,4,4,3,1.5
2017-07-02 04:00,0.75,1.01,314,6,5,7,8,9,8,8,5,6,12,9,12,10,7,5,6,14,9,10,6,5,6,8,12,9,10,5,5,5,7,9,8,7,4,4,3,3,5,6,6,2,1.5,2,3,3,5,5,1.5,1
2017-07-02 04:10,0.5,1.85,197.7,3,4,3,5,7,7,10,3,4,2,3,6,9,9,6,4,2,2,4,10,14,8,3,2,4,6,10,8,9,4,3,5,7,7,6,2,3,5,9,8,6,5,3,5,7,9,7,3,2
2017-07-02 04:20,0.5,1.89,240.7,0.6,4,5,7,12,10,5,0.8,3,7,9,12,9,9,1.5,3,5,7,8,8,12,1.5,2,3,4,5,9,12,1.5,1.5,2,4,6,9,10,1,1.5,2,4,6,9,9,2,2,1.5,2,5,6,6
