Date,AWS,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25
2017-07-02 01:30,0.05,0,0.1,1,2,3,0,0.1,1,2,3,0,0,0.2,1,3,0,0,0.2,2,4,0,0,0.2,2,4
2017-07-02 01:40,0.05,0,0,0,0.4,1.5,0,0,0.1,0.2,2,0,0.1,0.2,0.6,2,0,0.4,0.8,1.5,2,0,0.6,1,2,2
2017-07-02 01:50,0.05,0.2,0.6,0.8,0.8,0.8,0.1,0.4,0.8,1,1.5,0.1,0.1,0.2,0.6,1.5,0,0.1,0.2,0.6,1.5,0,0.1,0.2,1,1.5
2017-07-02 02:00,0.05,0.1,0.2,0.8,1.5,2,0.1,0.1,0.6,2,6,0.4,0.2,2,4,5,0.6,0.6,0.4,2,2,0.4,0.4,0.4,1.5,4
2017-07-02 02:10,0.15,0.2,0.4,1,1.5,2,0.2,0.4,0.8,1,3,0.4,0.6,0.8,1.5,4,0.4,0.6,1,1.5,3,0.2,0.6,1,2,1.5
2017-07-02 02:20,0.15,3,5,5,5,5,4,4,5,6,6,1,2,5,5,5,0.6,2,3,3,3,0.6,1.5,2,2,3
2017-07-02 02:30,0.15,8,7,6,4,5,8,6,8,8,6,4,6,7,6,3,5,6,7,6,4,5,6,6,8,3
2017-07-02 02:40,0.4,6,6,6,7,5,6,7,7,5,7,10,12,10,5,9,9,10,8,8,10,8,8,9,4,7
2017-07-02 02:50,0.1,9,4,2,2,3,7,4,3,2,2,7,7,4,2,2,6,7,6,5,2,5,7,5,3,2
2017-07-02 03:00,0.15,3,3,4,5,4,2,3,3,4,6,4,4,4,6,7,4,4,6,5,4,6,7,4,7,3
2017-07-02 03:10,0.6,2,2,5,16,10,3,4,14,16,5,4,5,8,9,7,5,6,6,6,6,7,7,4,2,2
2017-07-02 03:20,0.35,6,6,8,9,10,3,2,3,5,10,2,2,4,6,10,2,2,6,7,8,3,4,5,7,6
2017-07-02 03:30,0.25,9,8,5,3,1.5,8,6,6,3,2,4,4,5,4,2,4,3,3,4,4,3,3,3,3,4
2017-07-02 03:40,0.4,7,5,2,3,3,10,8,4,6,3,7,6,1.5,2,2,7,4,1,2,2,7,4,1,2,1.5
2017-07-02 03:50,0.3,5,4,4,6,6,2,2,4,5,7,1.5,3,3,5,8,1.5,4,4,6,6,2,3,4,4,6
2017-07-02 04:00,0.75,6,12,9,12,10,6,14,9,10,6,8,12,9,10,5,7,9,8,7,4,3,5,6,6,2
2017-07-02 04:10,0.5,4,2,3,6,9,4,2,2,4,10,3,2,4,6,10,4,3,5,7,7,3,5,9,8,6
2017-07-02 04:20,0.5,3,7,9,12,9,3,5,7,8,8,2,3,4,5,9,1.5,2,4,6,9,1.5,2,4,6,9
2017-07-02 04:30,0.25,6,5,5,4,5,4,5,3,3,4,4,4,5,4,2,3,5,6,4,4,6,8,7,7,4
2017-07-02 04:40,0.1,3,6,4,3,2,5,6,3,6,1.5,3,5,5,7,2,3,4,5,7,3,4,3,5,6,2
2017-07-02 04:50,0.3,3,5,5,7,5,3,6,6,3,4,4,6,6,3,3,4,6,3,1.5,2,3,4,2,1.5,2
2017-07-02 05:00,0.3,6,6,6,3,3,5,7,5,3,3,6,7,5,6,7,6,7,6,6,5,4,5,7,5,5
2017-07-02 05:10,0.3,2,7,6,8,5,2,9,7,7,4,4,8,7,4,5,4,7,4,3,4,5,5,3,2,3
2017-07-02 05:20,0.05,2,2,1.5,0.4,1,3,3,3,2,6,3,4,4,6,8,3,4,7,7,1.5,3,3,7,5,1
2017-07-02 05:30,0,0.4,0.2,0.1,0,0,0.6,0.2,0,0,0,0.4,0.2,0,0,0,0.6,0.4,0.1,0.6,0.1,0.8,0.4,0,1,0.6
2017-07-02 05:40,0,0.2,0.2,0.2,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 05:50,0,3,0.6,0.1,0,0,3,0.6,0.2,0,0,2,0.4,0.2,0,0,0.6,0.4,0.1,0,0,2,0.2,0.1,0,0
2017-07-02 06:00,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 06:10,0,0,0.8,1,0.8,0.2,0,0.4,0.8,0.2,0,0,0,0.4,0.1,0,0,0,0.2,0,0,0,0,0.1,0,0
2017-07-02 06:20,0,0,0.6,0.8,0.2,0,0,0.4,0.6,0.1,0,0,1,0.8,0.1,0,0,1,0.8,0,0,0.2,0.6,0.6,0,0
2017-07-02 06:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 06:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 06:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 07:00,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 07:10,0.05,0,0.2,0.8,1,1.5,0,0.8,1.5,2,2,0,1,4,4,1.5,0.1,0.8,3,2,3,0,0,0.1,0.1,0.4
2017-07-02 07:20,0.2,5,7,9,5,3,4,4,6,5,6,2,3,5,5,4,0.6,1.5,2,3,4,0.6,2,4,4,3
2017-07-02 07:30,0.2,8,7,4,1.5,3,8,6,2,2,3,5,5,3,5,5,4,4,4,5,8,5,3,2,2,2
2017-07-02 07:40,0.3,3,2,2,2,4,1.5,2,4,4,5,4,3,2,3,4,5,2,3,2,3,4,4,2,3,2
2017-07-02 07:50,0.3,4,3,4,4,3,9,7,2,3,3,1,2,3,3,4,1,3,1.5,4,5,3,3,2,4,5
2017-07-02 08:00,0.15,2,3,3,1.5,1.5,2,2,2,1,1,2,1.5,1.5,0.8,2,2,1.5,0.8,0.8,3,3,1.5,0.6,1,1.5
2017-07-02 08:10,0,8,9,10,4,1.5,7,4,7,0.6,0.4,4,2,1.5,0.6,0.4,2,2,1.5,0.8,0.8,1.5,1.5,1,1.5,1
2017-07-02 08:20,0,1.5,4,10,9,0.2,2,7,12,0.8,0.1,7,8,10,0.6,0.1,6,6,6,0.2,0,6,3,1,0.1,0
2017-07-02 08:30,0,3,6,3,0.4,0,3,9,4,0.2,0.1,6,7,4,0.4,0,6,4,1.5,0.2,0,4,5,0.8,0.1,0
2017-07-02 08:40,0.2,3,1.5,2,5,7,4,2,1,1,2,3,2,1,0.2,1,3,0.8,0.6,0.2,0.6,2,0.6,0.4,0.1,0.2
2017-07-02 08:50,0,2,2,2,2,1,2,2,2,4,1,2,3,6,5,1,0.8,1.5,4,4,0.2,1.5,2,2,3,1
2017-07-02 09:00,0,1.5,5,4,0.8,0,2,4,6,0.4,0,2,4,5,0.4,0,1.5,3,0.6,0.1,0,3,1.5,0.4,0.2,0
2017-07-02 09:10,0,1,0.2,0.2,0,0,0.6,0.2,0.6,0,0,1.5,1.5,0.6,0,0,2,2,0.1,0,0,2,2,0,0,0
2017-07-02 09:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 09:30,0,0,0,0,0.8,0.6,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 09:40,0,0.2,0,0,0,0,0.2,0,0,0,0,0.1,0,0.2,0.1,0,0,0,0.4,0,0,0,0,0.4,0,0
2017-07-02 09:50,0,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 10:00,0,0.2,0.2,0.1,0,0.1,0.4,0.1,0.1,0,0.1,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
