Date,AWS,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25
2017-07-02 01:30,0,0.6,0.8,0.8,0.6,0,0.6,0.8,1,0,0,0.8,0.8,0.8,0.6,0,0.4,0.6,0.6,0.4,0.4,0.2,0.6,0.4,0.4,0
2017-07-02 01:40,0,1,0.2,0.6,0.4,0,0.4,0.4,0.6,0,0,0.2,0.8,1,0.4,0,0.6,0.6,1,0.2,0.2,0.4,0.2,0.2,0.2,0
2017-07-02 01:50,0,0.6,0.4,0.4,1,0,0.4,0.4,0.4,0,0,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.4,0.2,0
2017-07-02 02:00,0,0.2,0.4,0.6,0.4,0,0.2,1,1,0,0,0.2,0.4,0.4,0.1,0,0.2,0.2,0.1,0.1,0.1,0.4,0.2,1,0.1,0
2017-07-02 02:10,0,2,1.5,0.6,0.4,0,1.5,1,0.6,0,0,0.2,0.4,0.4,0.4,0,0.2,0.4,0.2,0.2,0.4,0.2,0.4,0.4,0.2,0
2017-07-02 02:20,0,2,2,6,2,0,1,1,3,0,0,0.4,0.4,0.6,0.4,0,1,0.8,0.4,0.6,3,1,1.5,2,0.6,0
2017-07-02 02:30,0.05,0.8,0.2,0.4,0.2,0,1,0.4,0.1,0,0,5,0.4,0.2,0.4,0,12,3,0.2,0.2,0.8,2,3,1.5,1,0
2017-07-02 02:40,0,0.2,0.4,0.6,0.4,0,0.2,0.4,0.8,0,0,0.2,0.6,1,0.4,0,0.2,0.4,0.2,0.2,0.2,4,0.6,1,0.4,0
2017-07-02 02:50,0,0.8,0.6,0.2,0,0,0.1,0.2,0.2,0,0,0.6,0.4,0.2,0.1,0,0.4,0.6,0.6,1,2,0.6,0.2,0.2,1,0
2017-07-02 03:00,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.1,0,0,0,0.1,0.2,0.1,0.2,0.1,0
2017-07-02 03:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1.5,0,0,0
2017-07-02 03:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 03:30,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0
2017-07-02 03:40,0.2,0,0.6,1.5,10,0,0,1,2,0,0,0,0,3,6,0,0,0,0.1,0.4,0.8,0,0,0,0.1,0
2017-07-02 03:50,0.05,0.4,1.5,2,4,0,0.4,1.5,3,0,0,0.6,1,10,12,0,6,14,30,30,25,6,16,20,25,0
2017-07-02 04:00,0.05,0.6,3,7,12,0,2,7,14,0,0,1.5,4,20,7,0,2,5,5,4,4,3,7,10,6,0
2017-07-02 04:10,0.05,0.6,0.8,1,1.5,0,0.4,4,1.5,0,0,2,9,3,1.5,0,3,9,3,1.5,3,20,12,5,3,0
2017-07-02 04:20,0,0.6,1,1.5,2,0,1,1.5,2,0,0,1,1.5,2,2,0,1,1.5,1.5,4,1.5,0.8,1,2,5,0
2017-07-02 04:30,0.05,3,2,1,1,0,1,1,2,0,0,2,1.5,2,2,0,1.5,2,2,0.8,1,3,3,2,3,0
2017-07-02 04:40,0,0.2,0.6,3,0.4,0,0.4,0.8,0.1,0,0,1,0.6,0.6,0.4,0,1,1,1,1,1,0.8,6,2,1,0
2017-07-02 04:50,0,0.6,0.6,1,1,0,2,1,0.6,0,0,1,0.8,0.4,0.8,0,0.4,0.4,1.5,0.4,0.4,0.2,6,5,0.2,0
2017-07-02 05:00,0,0.8,0.8,0.6,0.6,0,0.4,0.4,1,0,0,0.6,0.4,2,1,0,0.6,0.6,1,1,0.8,1,1.5,2,1.5,0
2017-07-02 05:10,0,0.4,0.4,0.4,0.6,0,0.6,0.6,0.4,0,0,0.6,0.6,0.6,0.4,0,1,0.6,0.8,0.8,0.6,0.2,0.6,1,1,0
